,business,entertainment,politics,sport,tech,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.47904191616766467,0.9770114942528736,0.5234899328859061,0.6404494382022472,0.7959086686612888,0.8107278382084256
recall,0.17647058823529413,0.3116883116883117,0.9523809523809523,0.8333333333333334,0.975,0.6404494382022472,0.6497746371275783,0.6404494382022472
f1-score,0.3,0.4752475247524752,0.6374501992031872,0.8994708994708994,0.6812227074235808,0.6404494382022472,0.5986782661700285,0.5999634257953406
support,102.0,77.0,84.0,102.0,80.0,0.6404494382022472,445.0,445.0
